years_interp,seconds_interp,seconds_zero,sunspots_interp
1784.116438356162,56263895999.99994,2636927999.999939,25.054794520597852
1784.226027397258,56267351999.99994,2640383999.999939,22.75342465758422
1784.3356164383538,56270807999.99994,2643839999.999939,20.452054794570586
1784.4452054794497,56274263999.99994,2647295999.999939,18.150684931556953
1784.5547945205456,56277719999.99994,2650751999.999939,18.271232876656903
1784.6643835616414,56281175999.99992,2654207999.9999237,20.81369863008149
1784.7739726027373,56284631999.99992,2657663999.9999237,23.356164383506076
1784.8835616438332,56288087999.99992,2661119999.9999237,25.898630136930663
1784.993150684929,56291543999.99992,2664575999.9999237,28.441095890355246
1785.102739726025,56294999999.99992,2668031999.9999237,30.983561643779833
1785.2123287671209,56298455999.99992,2671487999.9999237,33.526027397204416
1785.3219178082168,56301911999.99992,2674943999.9999237,36.068493150629
1785.4315068493127,56305367999.99992,2678399999.9999237,38.61095890405359
1785.5410958904085,56308823999.99992,2681855999.9999237,44.22739726003711
1785.6506849315044,56312279999.99992,2685311999.9999237,54.96712328743406
1785.7602739726003,56315735999.99992,2688767999.9999237,65.70684931483102
1785.8698630136962,56319191999.99992,2692223999.9999237,76.44657534222796
1785.979452054792,56322647999.99992,2695679999.9999237,87.18630136962491
1786.089041095888,56326103999.99992,2699135999.9999237,97.92602739702187
1786.1986301369839,56329559999.99992,2702591999.9999237,108.66575342441882
1786.3082191780798,56333015999.99992,2706047999.9999237,119.40547945181578
1786.4178082191756,56336471999.99992,2709503999.9999237,130.14520547921273
1786.5273972602715,56339927999.99992,2712959999.9999237,140.44109589021093
1786.6369863013674,56343383999.99992,2716415999.9999237,149.40547945185452
1786.7465753424633,56346839999.99992,2719871999.9999237,158.3698630134981
1786.8561643835592,56350295999.99992,2723327999.9999237,167.3342465751417
1786.965753424655,56353751999.99992,2726783999.9999237,176.29863013678528
1787.075342465751,56357207999.99992,2730239999.9999237,185.26301369842886
1787.1849315068469,56360663999.99992,2733695999.9999237,194.22739726007245
1787.2945205479427,56364119999.99992,2737151999.9999237,203.191780821716
1787.4041095890386,56367575999.99992,2740607999.9999237,212.1561643833596
1787.5136986301345,56371031999.99992,2744063999.9999237,219.97534246575788
1787.6232876712304,56374487999.99992,2747519999.9999237,219.77808219178527
1787.7328767123263,56377943999.99992,2750975999.9999237,219.58082191781267
1787.8424657534222,56381399999.99992,2754431999.9999237,219.38356164384007
1787.952054794518,56384855999.99992,2757887999.9999237,219.1863013698675
1788.061643835614,56388311999.99992,2761343999.9999237,218.9890410958949
1788.1712328767098,56391767999.99992,2764799999.9999237,218.7917808219223
1788.2808219178057,56395223999.99992,2768255999.9999237,218.59452054794968
1788.3904109589016,56398679999.99992,2771711999.9999237,218.39726027397708
1788.4999999999975,56402135999.99992,2775167999.9999237,218.20000000000448
1788.6095890410934,56405591999.99992,2778623999.9999237,215.85479452060153
1788.7191780821893,56409047999.99992,2782079999.9999237,213.50958904114955
1788.8287671232852,56412503999.99992,2785535999.9999237,211.16438356169755
1788.938356164381,56415959999.99992,2788991999.9999237,208.81917808224557
1789.047945205477,56419415999.99992,2792447999.9999237,206.4739726027936
1789.1575342465728,56422871999.99992,2795903999.9999237,204.1287671233416
1789.2671232876687,56426327999.99992,2799359999.9999237,201.7835616438896
1789.3767123287646,56429783999.99992,2802815999.9999237,199.43835616443764
1789.4863013698605,56433239999.99992,2806271999.9999237,197.09315068498563
1789.5958904109564,56436695999.99992,2809727999.9999237,192.29315068505053
1789.7054794520523,56440151999.99992,2813183999.9999237,187.14246575354383
1789.8150684931481,56443607999.99992,2816639999.9999237,181.99178082203713
1789.924657534244,56447063999.99992,2820095999.9999237,176.84109589053043
1790.03424657534,56450519999.99992,2823551999.9999237,171.69041095902372
1790.1438356164358,56453975999.99992,2827007999.9999237,166.53972602751702
1790.2534246575317,56457431999.99992,2830463999.9999237,161.38904109601032
1790.3630136986276,56460887999.99992,2833919999.9999237,156.2383561645036
1790.4726027397235,56464343999.99992,2837375999.9999237,151.0876712329969
1790.5821917808194,56467799999.99992,2840831999.9999237,146.61095890420893
1790.6917808219152,56471255999.99992,2844287999.9999237,142.35890410968852
1790.8013698630111,56474711999.99992,2847743999.9999237,138.1068493151681
1790.910958904107,56478167999.99992,2851199999.9999237,133.85479452064766
1791.020547945203,56481623999.99992,2854655999.9999237,129.60273972612723
1791.1301369862988,56485079999.99992,2858111999.9999237,125.35068493160679
1791.2397260273947,56488535999.99992,2861567999.9999237,121.09863013708636
1791.3493150684906,56491991999.99992,2865023999.9999237,116.84657534256594
1791.4589041095865,56495447999.99992,2868479999.9999237,112.59452054804551
1791.5684931506823,56498903999.99992,2871935999.9999237,110.24657534249422
1791.6780821917782,56502359999.99992,2875391999.9999237,109.04109589043946
1791.7876712328741,56505815999.99992,2878847999.9999237,107.8356164383847
1791.89726027397,56509271999.99992,2882303999.9999237,106.63013698632994
